Message,Word_Count,Text_Length,Count_A,Count_Exclamation,Avg_Word_Length,Punctuation_Count,Uppercase_Word_Count,Keyword_Presence,and,are,call,can,for,have,in,is,it,me,my,now,of,on,so,that,the,to,you,your,Label
Where are you lover ? I need you ...,9,36,1,0,3.111111111,4,1,0,0,0.616180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78760488,0,ham
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,27,154,6,0,4.740740741,4,3,0,0,0,0.39950287,0,0,0,0,0,0,0,0,0.415857335,0.399721554,0,0,0,0,0.529393637,0.27175862,0.3918832,spam
I‘m parked next to a MINI!!!! When are you coming in today do you think?,15,72,4,4,3.866666667,5,1,0,0,0.519112728,0,0,0,0,0.431073341,0,0,0,0,0,0,0,0,0,0,0.323144999,0.66353226,0,ham
Yup,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,18,85,2,0,3.777777778,4,0,0,0,0,0,0,0,0,0,0,0,0,0.79658273,0.428361598,0,0.426570387,0,0,0,0,0,0,ham
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,11,51,0,1,3.727272727,3,10,0,0,0,0,0,0,0,0.549525041,0,0,0.579580061,0.601755084,0,0,0,0,0,0,0,0,0,ham
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,25,121,7,0,3.88,0,1,0,0,0,0,0,0,0,0,0,0,0.424607877,0,0,0,0,0,0,0,0.905377353,0,0,spam
Why you Dint come with us.,6,26,0,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ham
Same. Wana plan a trip sometme then,7,35,5,0,4.142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Not sure yet, still trying to get a hold of him",11,47,1,0,3.363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833763981,0,0,0,0,0.552121022,0,0,ham
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,27,159,2,3,4.925925926,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0.463923998,0,0,0,0,0,0.885875005,0,0,spam
The evo. I just had to download flash. Jealous?,9,47,4,0,4.333333333,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774009989,0.633173386,0,0,ham
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,24,133,7,1,4.583333333,3,1,1,0.386141065,0,0,0,0,0,0,0.39341896,0,0,0,0,0.434350816,0.449994923,0,0,0.35160554,0,0,0.425833397,spam
"Come to mu, we're sorting out our narcotics situation",9,53,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",29,147,13,0,4.103448276,3,0,0,0.347613059,0,0,0,0.376145499,0,0.345410562,0,0,0,0,0,0,0,0,0,0.633046771,0,0.265837654,0.383345008,ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,25,155,4,1,5.24,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0.531158277,0.510548676,0,0,0,0,0.676173746,0,0,spam
"Usf I guess, might as well take 1 car",9,37,3,0,3.222222222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
No objection. My bf not coming.,6,31,0,0,4.333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ham
Thanx...,1,8,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Tell rob to mack his gf in the theater,9,38,2,0,3.333333333,0,0,0,0,0,0,0,0,0,0.645272126,0,0,0,0,0,0,0,0,0,0.5913071,0.483714582,0,0,ham
"Awesome, I'll see you in a bit",7,30,1,0,3.428571429,2,0,0,0,0,0,0,0,0,0.792471818,0,0,0,0,0,0,0,0,0,0,0,0.609908532,0,ham
Just sent it. So what type of food do you like?,11,47,1,0,3.363636364,2,0,0,0,0,0,0,0,0,0,0,0.513420217,0,0,0,0.531026632,0,0.569270123,0,0,0,0.361028979,0,ham
All done? All handed in? Celebrations in full swing yet?,10,56,2,0,4.7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
You got called a tool?,5,22,2,0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ham
"""Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch"" gdeve..",25,143,2,0,4.76,14,0,0,0,0,0,0,0.317219327,0,0.291299262,0.597364137,0,0,0,0,0,0,0.353505842,0,0.533874981,0.218366322,0,0,ham
Ok. I asked for money how far,7,29,2,0,3.285714286,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Okie...,1,7,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",25,121,7,0,3.88,3,1,0,0.441405996,0,0,0,0,0,0,0,0,0.462597954,0.480297183,0,0.496515579,0,0,0,0,0,0.337565956,0,ham
"K, I might come by tonight then if my class lets out early",13,58,2,0,3.538461538,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ham
Ok..,1,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,35,148,8,0,3.257142857,1,0,0,0.294166933,0,0.330712674,0,0,0,0.292303074,0,0,0.61657985,0.320085251,0.344251073,0,0.342811574,0,0,0,0,0,0,ham
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",33,160,6,0,3.878787879,14,3,0,0,0,0.219786018,0,0,0,0.194259651,0,0,0.20488424,0.850892855,0,0,0,0,0,0.356026881,0.145622633,0,0,ham
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",21,152,13,0,6.285714286,7,0,0,0,0.459034936,0,0,0,0,0.762368992,0,0,0,0,0,0,0,0,0,0.349305494,0,0.293370276,0,ham
Hey you told your name to gautham ah?,8,37,4,0,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485302838,0.49825015,0.718490044,ham
Haf u found him? I feel so stupid da v cam was working.,13,55,4,0,3.307692308,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
Oops. 4 got that bit.,5,21,1,0,3.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ham
Are you this much buzy,5,22,0,0,3.6,0,0,0,0,0.842614671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538516961,0,ham
I accidentally deleted the message. Resend please.,7,50,4,0,6.285714286,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ham
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,29,159,9,0,4.517241379,8,3,1,0,0,0.345113454,0,0.332173276,0,0,0,0,0,0,0.359241378,0,0.357739197,0,0,0,0,0.234760657,0.677062295,spam
Unless it's a situation where YOU GO GURL would be more appropriate,12,67,4,0,4.666666667,1,3,0,0,0,0,0,0,0,0,0,0.818006377,0,0,0,0,0,0,0,0,0,0.575209152,0,ham
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,35,153,5,0,3.4,11,9,0,0.216407055,0,0,0,0,0.246002841,0.215035888,0,0,0.680390357,0.470948288,0,0.243425498,0.252193007,0,0,0.197052131,0,0,0,ham
I cant pick the phone right now. Pls send a message,11,51,3,0,3.727272727,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.789233858,0,0,0,0,0.61409276,0,0,0,ham
Need a coffee run tomo?Can't believe it's that time of week already,12,67,5,0,4.666666667,3,0,0,0,0,0,0.529648499,0,0,0,0,0.475197431,0,0,0,0.491493095,0,0,0.502090039,0,0,0,0,ham
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",17,88,1,0,4.235294118,2,2,0,0,0,0,0,0.510813817,0,0,0,0,0,0,0,0,0,0,0,0.859691366,0,0,0,ham
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",31,157,10,0,4.096774194,5,0,0,0.233324055,0,0,0,0.757426606,0,0,0.475443383,0,0,0,0,0,0.27190747,0,0.268113296,0,0,0,0,ham
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,21,90,6,1,3.333333333,2,0,0,0.361894963,0,0,0,0.391599677,0.411387646,0.359601976,0,0,0,0,0,0,0,0,0,0.329527951,0.269568005,0.276759764,0.399094983,ham
He is a womdarfull actor,5,24,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ham
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",23,146,4,2,5.391304348,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,spam
Yup... From what i remb... I think should be can book...,11,56,2,0,4.181818182,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Jos ask if u wana meet up?,7,26,3,0,2.857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,14,71,4,0,4.142857143,3,0,0,0,0,0,0,0,0,0,0.658195086,0,0,0,0,0,0.752847414,0,0,0,0,0,0,ham
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",24,138,4,0,4.791666667,6,1,0,0.753977402,0,0,0,0,0,0,0,0,0,0,0,0.424055778,0,0,0,0,0.280811015,0,0.415740241,spam
Where are the garage keys? They aren't on the bookshelf,10,55,4,0,4.6,2,0,0,0,0.484235294,0,0,0,0,0,0,0,0,0,0,0,0.471593729,0,0,0.736963727,0,0,0,ham
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,24,156,6,0,5.541666667,3,2,0,0,0,0,0,0,0,0,0.697060465,0,0.717012349,0,0,0,0,0,0,0,0,0,0,ham
"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",25,133,1,1,4.36,10,5,0,0,0,0,0,0,0,0.582324482,0,0,0,0,0.685814982,0,0,0,0,0,0.436527214,0,0,spam
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,24,119,4,0,4,3,0,0,0,0,0.319131661,0,0,0,0,0,0,0.297494119,0,0,0.319306351,0,0,0.326190826,0.775432287,0,0,0,ham
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",33,142,7,0,3.333333333,6,3,0,0,0,0,0,0,0,0,0.458148643,0,0.23563109,0,0,0.252907532,0,0,0,0.818911223,0,0,0,ham
You made my day. Do have a great day too.,10,41,6,0,3.2,2,0,0,0,0,0,0,0,0.649731299,0,0,0,0,0.621923392,0,0,0,0,0,0,0,0.437104717,0,ham
K.k:)advance happy pongal.,3,26,4,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",24,119,10,0,4,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Not really dude, have no friends i'm afraid :(",9,46,4,0,4.222222222,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,27,157,8,2,4.851851852,4,1,1,0,0.337619449,0.317200893,0,0.305307308,0,0,0,0,0,0,0,0,0.328805473,0,0,0.513827246,0.420332736,0.215773361,0.311150959,spam
"Coffee cake, i guess...",4,23,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Merry Christmas to you too babe, i love ya *kisses*",10,51,3,0,4.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697738105,0.716352942,0,ham
Hey... Why dont we just go watch x men and have lunch... Haha,13,61,5,0,3.769230769,6,0,0,0.660498114,0,0,0,0,0.750827704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,28,107,5,0,2.857142857,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,31,157,8,1,4.096774194,6,0,0,0,0,0,0,0,0.472534495,0.413051631,0,0,0,0,0,0,0.484424873,0,0.477665249,0.378507535,0,0,0,ham
No problem. How are you doing?,6,30,1,0,4.166666667,2,0,0,0,0.842614671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538516961,0,ham
No calls..messages..missed calls,3,32,3,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Hi da:)how is the todays class?,6,31,3,0,4.333333333,3,0,0,0,0,0,0,0,0,0,0.745618753,0,0,0,0,0,0,0,0,0.666372775,0,0,0,ham
"I'd say that's a good sign but, well, you know my track record at reading women",16,79,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.619076875,0,0,0,0,0.653779963,0,0,0.435104107,0,ham
"Cool, text me when you're parked",6,32,1,0,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0.807795541,0,0,0,0,0,0,0,0,0.589462776,0,ham
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,20,86,5,0,3.35,3,0,0,0,0,0,0,0,0,0.377912086,0,0.413620985,0,0,0,0,0,0.458614721,0.437028829,0.34630676,0.28329379,0.290851738,0,ham
K.k:)apo k.good movie.,3,22,1,0,6.666666667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Maybe i could get book out tomo then return it immediately ..? Or something.,14,76,2,0,4.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ham
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,24,128,8,2,4.375,4,0,0,0,0,0.901082379,0,0.433647953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spam
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,43,232,17,0,4.418604651,4,1,0,0,0,0,0,0,0.24744648,0,0,0,0.456255432,0.473711993,0,0,0,0,0,0,0.162143065,0.499406557,0.480105076,ham
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,27,158,8,2,4.888888889,7,1,0,0.341387376,0,0,0,0,0,0.339224326,0,0,0,0,0.399511152,0.384009624,0.397840581,0,0,0.310854513,0.254292331,0,0.376479373,spam
"Ta-Daaaaa! I am home babe, are you still up ?",10,45,9,1,3.6,4,1,0,0,0.842614671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538516961,0,ham
Cool. So how come you havent been wined and dined before?,11,57,2,0,4.272727273,2,0,0,0.573639126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69172824,0,0,0,0.438691458,0,ham
Just sleeping..and surfing,3,26,1,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Sorry, I'll call later",4,22,2,0,4.75,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
U calling me right? Call my hand phone...,8,41,3,0,4.25,4,1,0,0,0,0.597000856,0,0,0,0,0,0,0.556523421,0.577816286,0,0,0,0,0,0,0,0,0,ham
Ok that's great thanx a lot.,6,28,4,0,3.833333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ham
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,31,151,8,2,3.903225806,4,1,0,0,0,0,0,0,0.295635564,0,0.264970342,0.282838994,0,0.565965263,0.304347276,0.292538224,0,0,0,0.473617438,0,0.198887909,0,ham
Where u been hiding stranger?,5,29,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Am not interested to do like that.,7,34,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83912287,0,0.543941917,0,0,ham
My sister cleared two round in birla soft yesterday.,9,52,3,0,4.888888889,1,0,0,0,0,0,0,0,0,0.674333932,0,0,0,0.738426535,0,0,0,0,0,0,0,0,0,ham
Gudnite....tc...practice going on,3,33,1,0,10.33333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ham
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,20,85,4,0,3.3,4,1,0,0,0,0,0,0,0,0.316198903,0.64842555,0,0,0.692504556,0,0,0,0,0,0,0,0,0,ham
One small prestige problem now.,5,31,1,0,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ham
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,20,111,3,0,4.6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842584391,0,0,0,0.538564336,0,0,spam
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,15,78,5,0,4.266666667,2,0,0,0,0,0,0,0,0.553201562,0.483564289,0,0,0,0,0,0,0.567121763,0,0,0,0,0.372164636,0,ham
"Nah can't help you there, I've never had an iphone",10,50,4,0,4.1,3,0,0,0,0,0,0.845750877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533577973,0,ham
If you're not in my car in an hour and a half I'm going apeshit,15,63,6,0,3.266666667,2,0,0,0.385807317,0,0,0,0,0,0.76672564,0,0,0,0.419799843,0,0,0,0,0,0,0,0.295046775,0,ham
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",30,148,7,1,3.966666667,7,5,0,0,0,0,0,0,0,0,0.55439085,0,0,0,0,0,0,0,0,0,0,0.832256442,0,ham
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,28,129,6,0,3.642857143,1,1,0,0.363458893,0.434915957,0,0.440575432,0.393291975,0,0,0,0,0,0,0,0,0.423561934,0,0,0,0.270732943,0.277955781,0,ham
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,8,45,0,0,4.75,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",34,202,17,0,4.970588235,7,1,0,0.260508834,0,0,0,0.281891668,0,0.258858234,0,0,0,0,0,0,0,0,0,0,0.388095185,0.796898222,0,ham
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,23,150,8,0,5.565217391,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.833763981,0,0,0,0,0.552121022,0,0,spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,22,148,6,0,5.772727273,9,2,0,0,0,0,0,0,0,0.419364513,0.429993057,0,0,0,0.493893825,0,0,0,0,0,0.62873545,0,0,spam
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",31,168,9,0,4.451612903,10,1,0,0.379957434,0,0,0,0,0,0.377550002,0.387118781,0,0,0,0,0,0,0,0,0.691949916,0,0.290573068,0,ham
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",17,85,3,2,4.058823529,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ham
Ha ha cool cool chikku chikku:-):-DB-),6,38,2,0,5.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Oh ok no prob..,4,15,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Check audrey's status right now,5,31,2,0,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ham
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,16,88,4,0,4.5625,5,1,0,0,0,0,0,0.542730765,0,0,0,0,0,0,0,0,0,0,0,0,0.747206181,0.383570384,0,ham
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",34,160,12,1,3.735294118,8,1,0,0.573592568,0.343181259,0,0,0,0,0.284979126,0,0,0,0.312065193,0,0.322602829,0,0,0.329558377,0.261145916,0.213628566,0.219327926,0,ham
Well i know Z will take care of me. So no worries.,12,50,2,0,3.25,2,1,0,0,0,0,0,0,0,0,0,0,0.5363694,0,0,0.575695938,0,0.617156425,0,0,0,0,0,ham
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",25,165,8,2,5.64,11,1,1,0,0,0.434453065,0,0,0,0,0,0,0,0,0,0,0.900694473,0,0,0,0,0,0,spam
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,16,129,2,0,7.125,6,1,0,0,0,0,0,0,0,0,0.607896758,0,0,0,0,0,0,0,0,0,0.444433039,0,0.657982375,spam
Wat uniform? In where get?,5,26,1,0,4.4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Cool, text me when you're ready",6,31,1,0,4.333333333,2,0,0,0,0,0,0,0,0,0,0,0,0.807795541,0,0,0,0,0,0,0,0,0.589462776,0,ham
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",29,129,3,0,3.482758621,9,4,0,0.279200538,0,0,0,0,0,0.277431508,0,0,0.585209983,0.303800205,0,0,0,0,0,0,0,0.640557202,0,ham
I will spoil you in bed as well :),9,34,1,0,2.888888889,2,1,0,0,0,0,0,0,0,0.792471818,0,0,0,0,0,0,0,0,0,0,0,0.609908532,0,ham
I'm going for bath will msg you next  &lt;#&gt;  min..,10,54,1,0,4.3,8,0,0,0,0,0,0,0.816637157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577151413,0,ham
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,37,162,12,0,3.405405405,1,1,0,0.23788936,0.284659093,0,0.288363305,0,0,0,0,0,0.249310459,0,0,0,0,0.286861166,0,0,0.708795276,0.363852553,0,ham
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",26,157,6,0,5.076923077,3,2,0,0,0,0,0.441042285,0.393708725,0,0,0,0,0,0,0,0,0.424010759,0,0,0,0,0.556500631,0.401244398,spam
Can you say what happen,5,23,4,0,3.8,0,0,0,0,0,0,0.845750877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533577973,0,ham
You could have seen me..i did't recognise you Face.:),9,53,2,0,5,6,0,0,0,0,0,0,0,0.522686675,0,0,0,0.481879222,0,0,0,0,0,0,0,0,0.70327168,0,ham
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,25,131,7,0,4.28,3,0,0,0.344992591,0,0,0,0,0,0.685613395,0,0,0,0,0,0.38806495,0.402041969,0,0,0.314137286,0,0,0,ham
Keep my payasam there if rinu brings,7,36,3,0,4.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ham
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,27,143,11,0,4.333333333,5,1,0,0,0,0,0,0,0,0,0,0,0.532536779,0,0,0,0,0.61274654,0.583906034,0,0,0,0,ham
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",57,300,11,0,4.280701754,14,1,0,0.174918709,0,0,0,0,0,0,0.35643107,0.190233753,0,0,0,0,0.203843978,0,0.401999112,0.318548803,0.130293295,0.668846839,0.192899007,ham
"Yeah sure, give me a couple minutes to track down my wallet",12,59,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0.622192075,0.645997455,0,0,0,0,0,0,0.442226538,0,0,ham
Hey leave it. not a big deal:-) take care.,9,42,5,0,3.777777778,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ham
Hey i will be late ah... Meet you at 945+,10,41,3,0,3.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ham
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",22,149,8,0,5.818181818,4,1,1,0.262734618,0,0.295375375,0,0,0,0,0,0,0,0,0,0,0.918544451,0,0,0,0,0,0,spam
It took Mr owl 3 licks,6,22,0,0,2.833333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ham
Customer place i will call you.,6,31,2,0,4.333333333,1,0,0,0,0,0.82683346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562446824,0,ham
Mm that time you dont like fun,7,30,1,0,3.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832490338,0,0,0.554039563,0,ham
